name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,184.25,4976.72,25795.0,33533.5,34823.25,-9058.251166376751,-15670.001210258555,-10090.729217151364,336.3007931654433,358.9412060501986,496.9642813509427,-32143.1565558255
NVDA-history,47.569,4998.400000000001,74302.778,76300.676,90277.87527000002,-9097.711470610668,-10026.244653163061,53692.75861387205,1304.5187765962976,1325.9129190708416,2880.334384680539,-64246.619699381416
META-history,344.47,4874.38,12745.390000000001,27213.13,16933.557017475,-8871.979601095378,-22262.74057226718,17128.31411230157,79.46467856229148,101.55936606774239,698.7939210684552,-71457.92093970238
UBER-history,66.02,4971.400000000001,8846.68,11553.5,11753.721164699999,-9052.87694474536,-11353.266114281418,23310.592183277648,-4.147663530300505,4.027716251329249,705.3207013713971,-70584.27693345789
SPOT-history,187.94,4905.9,8457.3,16350.78,11236.389923249999,-8929.349932712246,-19264.038971973867,17782.77848926074,-9.622086318764081,-59.38276303988802,591.5156936038392,-93742.87520429591
MSFT-history,370.6,4967.400000000001,18900.600000000002,34465.8,22964.229000000003,-9041.287603855517,-22003.97740130507,-4000.7110493663376,198.48033973798132,250.87213831571708,381.7594304995302,-39221.37644891154
NKE-history,104.04,4947.0,7074.72,11444.400000000001,80585.4825,-9004.157059281146,-15533.134674527451,-97725.55344928947,-39.00216412535164,-82.65079188452496,-346.47404385060577,-97725.55344928947
AMD-history,135.32,4995.650000000001,39648.759999999995,45332.2,53525.826,-9092.706127592059,-13346.705806620974,-9062.212277969984,611.6532157458577,640.266916084574,890.0466149956465,-38027.44281931486
DUOL-history,307.32,4974.28,11370.84,19975.8,11370.84,-7388.322656586101,-12444.150177945274,-7388.322656586101,80.06218675695575,151.41185904401695,80.06218675695575,-7388.322656586101
SNAP-history,15.78,4998.4,13886.4,14549.16,142357.2975,-9097.711470610668,-10592.207599850299,-135709.65638735503,95.80442800474816,79.16438060478757,132.995380774747,-219881.31796945794
GOOG-history,140.36,4978.6939999999995,13755.28,19650.4,20305.888218000004,-9061.84409260171,-14523.73734169148,6959.716340637834,94.27042327562792,102.97203761284631,547.6457191110328,-119156.39044638386
LLY-history,617.7,4897.64,27178.800000000003,53122.200000000004,27178.800000000003,-8914.315702409061,-22258.49494040793,-8914.315702409061,372.92418996886136,630.1750447070849,372.92418996886136,-8914.315702409061
TSLA-history,238.45,4985.976000000001,59374.049999999996,69388.95,133591.6125,-9075.098240914958,-18081.222269884543,-83217.31750033335,1008.8085413785592,1029.0408082613203,1010.3196445323169,-83217.31750033335
DIS-history,91.65,4997.51,4307.55,8156.85,248395.0390136719,-9096.091559597364,-16657.006681430463,-281244.9192980453,-95.81854882926424,-170.0878373716203,-657.3249535143178,-281244.9192980453
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
