name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,192.46,4965.839999999999,20785.68,28676.54,32737.446,-9034.146234872866,-14818.666501161939,-14090.891529704953,236.64745068562692,279.0640354670723,375.49648136659755,-27241.008209649568
NVDA-history,42.413,4997.3240000000005,35796.572,37535.505,56379.60089999999,-9091.42376698402,-9817.106968194792,-7827.212649190895,534.3889696368692,554.6648172462943,971.5677480749516,-24435.131402642986
INTC-history,33.62,4996.47,3395.62,4774.04,195808.55994140625,-9089.87012029288,-11839.935157096304,-225782.09217219992,-113.96546202204516,-141.41774406923898,-599.8941698998227,-225782.09217219992
META-history,286.02,4818.25,7150.5,18877.32,39909.845390625,-8765.64188459077,-20987.19441838098,-24474.580163146216,-33.5213383404923,-43.78922676035862,320.35002806991713,-58747.62497794117
UBER-history,66.02,4971.400000000001,8846.68,11553.5,16936.281860006253,-9052.87694474536,-11353.266114281418,9393.05501265711,-4.147663530300505,4.027716251329249,529.6161417842733,-47804.53658009132
NFLX-history,441.44,4686.24,5297.28,23396.32,8760.3768,-8525.481580500114,-30831.036112224545,-12360.09773667276,-68.88681716045518,-158.6499221598669,-76.81469443888406,-20525.017531441765
SPOT-history,160.56,4891.14,4656.24,11239.2,37126.238625000005,-8898.247630861237,-18851.887117990387,-27968.2830689448,-86.72840341640674,-155.64238844094396,187.23560470678015,-42851.30970570019
MSFT-history,337.99,4952.5,16899.5,30757.09,27947.548125,-9009.877327543367,-20437.246200986618,-11758.588085544588,159.30585911068417,208.3764522768982,326.8846045321638,-39145.75268976105
NKE-history,109.11,4958.2,7092.15,11565.66,80784.02109375,-9020.247100540222,-15152.931459334592,-88659.35437097537,-38.887037645521005,-72.35027750664742,-158.8345221496789,-88659.35437097537
AMD-history,115.82,4995.0,38568.06,43316.68,60744.6945,-9087.19581041475,-12757.239131162016,-13309.640654174642,590.207491282988,611.8006179947545,949.6507276441513,-41815.97208450632
DUOL-history,307.32,4974.28,11370.84,19975.8,11370.84,-7388.322656586101,-12444.150177945274,-7388.322656586101,80.06218675695575,151.41185904401695,80.06218675695575,-7388.322656586101
SNAP-history,12.02,4997.0,4567.599999999999,5060.42,34685.2125,-9090.834327255763,-10498.327974108946,-49383.56929630913,-90.5189979438816,-108.82345355431151,-294.14362209944215,-49383.56929630913
GOOG-history,120.56,4963.05,10850.4,15793.36,36620.1,-9029.070503879651,-13947.645339490316,-32244.4018266843,36.697786565123224,37.189120813001765,88.1655065597908,-32244.4018266843
MHVYF-history,4.7,4999.2480000000005,6570.6,6758.6,11409.436237500002,-9030.20709173219,-9213.749483954634,-9989.27314769487,-49.199541445677234,-49.11037587962497,28.407534289259733,-24283.53823315801
LLY-history,461.42,4931.070000000001,26300.940000000002,45219.16,39451.41,-8970.89061959196,-19902.768262482794,-13496.287165486321,351.4460224739871,513.4056449719271,526.35883965374,-13496.287165486321
TSLA-history,279.82,4994.484,67436.62,78909.24,67436.62,-9086.257073069768,-16705.979224537674,-9086.257073069768,1168.2961228213007,1245.4391840170542,1168.2961228213007,-9086.257073069768
DIS-history,90.5,4993.92,4344.0,8054.5,49480.875,-9085.23101132063,-16460.463936448225,-79711.97751835576,-94.94006734830813,-168.32396066513328,-605.3581658968459,-79711.97751835576
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
SBUX-history,99.15,4974.54,10113.300000000001,14178.45,84669.65374218751,-9049.973783131245,-13983.518980208415,-75687.01323815128,21.375367709753185,3.918573773486305,180.57228415162467,-115197.99872727378
ABNB-history,132.5,4873.75,4637.5,9142.5,7304.0625,-7800.812299219948,-14030.627597615188,-10707.334488391192,-64.90509975316641,-100.2950007204963,-69.82861222654408,-12582.33853248298
