Date,Value
2021-03-16,-158555.83211453893
2021-03-17,-158631.33489173636
2021-03-18,-158706.8736226372
2021-03-19,-151818.287615156
2021-03-22,-151890.58203782988
2021-03-23,-151962.91088641933
2021-03-24,-152035.2741773176
2021-03-25,-152107.67192692586
2021-03-26,-152180.104151653
2021-03-29,-152252.57086791567
2021-03-30,-152325.0720921385
2021-03-31,-152397.6078407538
2021-04-01,-152470.1781302018
2021-04-05,-152542.7829769304
2021-04-06,-152615.42239739565
2021-04-07,-152688.09640806107
2021-04-08,-152760.80502539827
2021-04-09,-152833.5482658865
2021-04-12,-152906.32614601313
2021-04-13,-152979.13868227316
2021-04-14,-153051.98589116946
2021-04-15,-153124.8677892129
2021-04-16,-153197.78439292207
2021-04-19,-153270.73571882342
2021-04-20,-153343.72178345142
2021-04-21,-153416.74260334834
2021-04-22,-153489.79819506418
2021-04-23,-153562.8885751571
2021-04-26,-153636.01376019287
2021-04-27,-153709.17376674534
2021-04-28,-153782.36861139617
2021-04-29,-153855.59831073496
2021-04-30,-153928.8628813591
2021-05-03,-154002.16233987402
2021-05-04,-154075.49670289303
2021-05-05,-154148.86598703725
2021-05-06,-154222.27020893584
2021-05-07,-154295.70938522584
2021-05-10,-154369.18353255212
2021-05-11,-154442.6926675676
2021-05-12,-154516.23680693313
2021-05-13,-154589.81596731735
2021-05-14,-154663.43016539706
2021-05-17,-154737.07941785673
2021-05-18,-154810.76374138906
2021-05-19,-154884.4831526945
2021-05-20,-154958.2376684815
2021-05-21,-155032.02730546647
2021-05-24,-155105.85208037382
2021-05-25,-155179.71200993593
2021-05-26,-155253.607110893
2021-05-27,-155327.53739999345
2021-05-28,-155401.50289399346
2021-06-01,-155475.50360965726
2021-06-02,-155549.5395637571
2021-06-03,-155623.61077307316
2021-06-04,-155697.71725439368
2021-06-07,-155771.85902451482
2021-06-08,-155846.03610024077
2021-06-09,-155920.24849838373
2021-06-10,-155994.49623576392
2021-06-11,-156068.77932920953
2021-06-14,-156143.0977955568
2021-06-15,-156217.4516516499
2021-06-16,-156291.84091434113
2021-06-17,-156366.26560049085
2021-06-18,-156440.72572696727
2021-06-21,-156515.22131064677
2021-06-22,-156589.75236841373
2021-06-23,-156664.3189171606
2021-06-24,-156738.92097378787
2021-06-25,-156813.55855520393
2021-06-28,-156888.23167832545
2021-06-29,-156962.94036007705
2021-06-30,-157037.68461739138
2021-07-01,-157112.46446720915
2021-07-02,-157187.27992647927
2021-07-06,-157262.13101215853
2021-07-07,-157337.01774121195
2021-07-08,-157411.94013061252
2021-07-09,-157486.8981973414
2021-07-12,-157561.89195838774
2021-07-13,-157636.92143074886
2021-07-14,-157711.98663143022
2021-07-15,-157787.08757744514
2021-07-16,-157862.2242858154
2021-07-19,-157937.3967735705
2021-07-20,-158012.6050577484
2021-07-21,-158087.84915539494
2021-07-22,-158163.12908356418
2021-07-23,-158238.44485931826
2021-07-26,-158313.79649972747
2021-07-27,-158389.1840218702
2021-07-28,-158464.60744283293
2021-07-29,-163516.71548447243
2021-07-30,-163594.5805870841
2021-08-02,-163672.48276831605
2021-08-03,-163750.4220458248
2021-08-04,-163828.39843727511
2021-08-05,-163906.41196034048
2021-08-06,-163984.46263270255
2021-08-09,-164062.5504720515
2021-08-10,-164140.6754960858
2021-08-11,-168812.4491153696
2021-08-12,-168892.8359959008
2021-08-13,-168973.2611558988
2021-08-16,-169053.72461359206
2021-08-17,-169134.2263872176
2021-08-18,-169214.76649502106
2021-08-19,-169295.34495525682
2021-08-20,-169375.96178618784
2021-08-23,-169456.61700608605
2021-08-24,-169537.3106332318
2021-08-25,-169618.04268591432
2021-08-26,-169698.81318243136
2021-08-27,-169779.6221410897
2021-08-30,-169860.46958020452
2021-08-31,-169941.35551809985
2021-09-01,-170022.27997310844
2021-09-02,-170103.24296357183
2021-09-03,-170184.2445078402
2021-09-07,-170265.2846242725
2021-09-08,-170346.3633312364
2021-09-09,-170427.4806471085
2021-09-10,-170508.63659027376
2021-09-13,-170589.83117912628
2021-09-14,-170671.0644320687
2021-09-15,-170752.33636751256
2021-09-16,-170833.647003878
2021-09-17,-170914.99635959417
2021-09-20,-170996.38445309873
2021-09-21,-171077.81130283826
2021-09-22,-171159.27692726822
2021-09-23,-171240.78134485264
2021-09-24,-171322.3245740645
2021-09-27,-171403.90663338546
2021-09-28,-171485.5275413061
2021-09-29,-171567.18731632576
2021-09-30,-171648.88597695262
2021-10-01,-171730.62354170356
2021-10-04,-171812.40002910438
2021-10-05,-171894.2154576897
2021-10-06,-171976.0698460028
2021-10-07,-172057.96321259617
2021-10-08,-172139.8955760307
2021-10-11,-172221.86695487646
2021-10-12,-172303.87736771215
2021-10-13,-172385.92683312533
2021-10-14,-172468.01536971252
2021-10-15,-172550.14299607903
2021-10-18,-172632.30973083904
2021-10-19,-172714.51559261567
2021-10-20,-172796.76060004072
2021-10-21,-172879.044771755
2021-10-22,-172961.36812640823
2021-10-25,-173043.73068265893
2021-10-26,-173126.1324591745
2021-10-27,-173208.57347463124
2021-10-28,-173291.05374771444
2021-10-29,-173373.57329711807
2021-11-01,-173456.13214154524
2021-11-02,-173538.7302997079
2021-11-03,-173621.36779032683
2021-11-04,-173704.04463213176
2021-11-05,-173786.7608438613
2021-11-08,-173869.51644426314
2021-11-09,-173952.31145209377
2021-11-10,-174035.14588611858
2021-11-11,-174118.01976511194
2021-11-12,-174200.93310785724
2021-11-15,-174283.8859331467
2021-11-16,-174366.87825978154
2021-11-17,-174449.91010657192
2021-11-18,-174532.98149233693
2021-11-19,-174616.09243590472
2021-11-22,-174699.24295611228
2021-11-23,-174782.43307180566
2021-11-24,-174865.66280183985
2021-11-26,-174948.9321650788
2021-11-29,-175032.24118039553
2021-11-30,-183231.86032406776
2021-12-01,-183319.1135908887
2021-12-02,-183406.40840688444
2021-12-03,-183493.74479184003
2021-12-06,-183581.12276555042
2021-12-07,-183668.54234781975
2021-12-08,-183756.00355846158
2021-12-09,-183843.50641729892
2021-12-10,-183931.0509441643
2021-12-13,-192962.68043121212
2021-12-14,-198533.85536475084
2021-12-15,-212143.82815301974
2021-12-16,-212244.8490235688
2021-12-17,-212345.91799929435
2021-12-20,-212447.03510310352
2021-12-21,-212548.20035791447
2021-12-22,-212649.41378665634
2021-12-23,-212750.67541226905
2021-12-27,-212851.98525770346
2021-12-28,-212953.34334592143
2021-12-29,-213054.74969989568
2021-12-30,-213156.2043426099
2021-12-31,-213257.70729705878
2022-01-03,-213359.25858624786
2022-01-04,-232673.3026617651
2022-01-05,-232784.09947255644
2022-01-06,-232894.94904373385
2022-01-07,-233005.85140042132
2022-01-10,-233116.80656775483
2022-01-11,-233227.81457088236
2022-01-12,-233338.8754349637
2022-01-13,-233449.98918517088
2022-01-14,-233561.15584668762
2022-01-18,-233672.37544470982
2022-01-19,-233783.64800444542
2022-01-20,-241236.3477796856
2022-01-21,-258480.5199070807
2022-01-24,-262110.71512608413
2022-01-25,-262235.5297523346
2022-01-26,-262360.40381412144
2022-01-27,-266113.2165790329
2022-01-28,-266239.9371583563
2022-01-31,-266366.71808081266
2022-02-01,-266493.5593751368
2022-02-02,-289143.2410986488
2022-02-03,-299534.7500545291
2022-02-04,-305119.2045087217
2022-02-07,-305264.49936801166
2022-02-08,-305409.8634153297
2022-02-09,-305555.29668362276
2022-02-10,-305700.7992058531
2022-02-11,-305846.3710149987
2022-02-14,-305992.0121440534
2022-02-15,-306137.7226260268
2022-02-16,-306283.502493944
2022-02-17,-306429.3517808458
2022-02-18,-306575.2705197891
2022-02-22,-306721.25874384615
2022-02-23,-306867.3164861051
2022-02-24,-307013.4437796699
2022-02-25,-307159.64065766026
2022-02-28,-307305.9071532115
2022-03-01,-315347.2572905464
2022-03-02,-315497.42265116086
2022-03-03,-323070.35370301857
2022-03-04,-323224.1967285915
2022-03-07,-332660.87126989075
2022-03-08,-332819.2812085907
2022-03-09,-332977.7665805948
2022-03-10,-333136.3274218237
2022-03-11,-333294.96376821504
2022-03-14,-349166.2442700094
2022-03-15,-349332.513910138
2022-03-16,-349498.8627262857
2022-03-17,-349665.29075615533
2022-03-18,-349831.79803746776
2022-03-21,-349998.38460796187
2022-03-22,-350165.0505053942
2022-03-23,-350331.7957675396
2022-03-24,-350498.6204321908
2022-03-25,-350665.52453715855
2022-03-28,-350832.50812027144
2022-03-29,-339715.205272692
2022-03-30,-339876.97441806
2022-03-31,-340038.82059635426
2022-04-01,-340200.7438442573
2022-04-04,-340362.7441984688
2022-04-05,-340524.8216957062
2022-04-06,-355111.03170127555
2022-04-07,-355280.13219256187
2022-04-08,-355449.3132078917
2022-04-11,-355618.5747856098
2022-04-12,-355787.9169640791
2022-04-13,-348177.13790974347
2022-04-14,-348342.9365468434
2022-04-18,-371917.21068567515
2022-04-19,-372094.314119335
2022-04-20,-376726.1921593918
2022-04-21,-388182.8625351225
2022-04-22,-388367.7115172821
2022-04-25,-388552.6485227665
2022-04-26,-388737.67359349155
2022-04-27,-388922.78677139326
2022-04-28,-389107.98809842736
2022-04-29,-400451.59247706045
2022-05-02,-421028.14414371626
2022-05-03,-421228.63373616553
2022-05-04,-425359.54628716724
2022-05-05,-434103.50760385155
2022-05-06,-434310.22355985333
2022-05-09,-469128.14244514226
2022-05-10,-469351.5367986876
2022-05-11,-469575.0375304964
2022-05-12,-485563.8461693503
2022-05-13,-485795.0670484786
2022-05-16,-486026.3980327873
2022-05-17,-486257.83917470765
2022-05-18,-486489.39052669576
2022-05-19,-486721.0521412322
2022-05-20,-486952.8240708232
2022-05-23,-487184.7063679998
2022-05-24,-487416.69908531784
2022-05-25,-487648.8022753587
2022-05-26,-487881.0159907278
2022-05-27,-488113.3402840567
2022-05-31,-488345.7752080015
2022-06-01,-484493.46523846564
2022-06-02,-484724.1764123888
2022-06-03,-509989.26832489163
2022-06-06,-510232.1203574272
2022-06-07,-510475.0880337881
2022-06-08,-510718.17140904214
2022-06-09,-539621.9782007845
2022-06-10,-539878.9410475469
2022-06-13,-579643.5960566767
2022-06-14,-586492.0190424179
2022-06-15,-586771.3009562475
2022-06-16,-587050.7158614647
2022-06-17,-587330.2638213988
2022-06-21,-587609.9448994091
2022-06-22,-599412.4310338849
2022-06-23,-599697.8655248533
2022-06-24,-599983.4359370082
2022-06-27,-600269.1423350734
2022-06-28,-613976.2778338043
2022-06-29,-614268.6474899156
2022-06-30,-614561.156369673
2022-07-01,-657987.1302077433
2022-07-05,-658300.4574126041
2022-07-06,-658613.9338208956
2022-07-07,-658927.5595036676
2022-07-08,-659241.3345320027
2022-07-11,-659555.258977018
2022-07-12,-659869.3329098641
2022-07-13,-660183.556401726
2022-07-14,-660497.929523822
2022-07-15,-660812.4523474048
2022-07-18,-661127.1249437608
2022-07-19,-661441.9473842102
2022-07-20,-661756.9197401073
2022-07-21,-662072.0420828407
2022-07-22,-673819.8309481182
2022-07-25,-674140.697534284
2022-07-26,-674461.7169140623
2022-07-27,-674782.8891602118
2022-07-28,-675104.2143455263
2022-07-29,-707020.6688899319
2022-08-01,-707357.3453989271
2022-08-02,-707694.1822300693
2022-08-03,-754051.0753357629
2022-08-04,-754410.1472763991
2022-08-05,-754769.3902036734
2022-08-08,-755128.8041990087
2022-08-09,-755488.3893438652
2022-08-10,-755848.1457197432
2022-08-11,-756208.0734081812
2022-08-12,-756568.1724907566
2022-08-15,-756928.4430490856
2022-08-16,-757288.8851648232
2022-08-17,-774798.2736160922
2022-08-18,-775167.2251749568
2022-08-19,-775536.3524250402
2022-08-22,-775905.6554500047
2022-08-23,-776275.1343335522
2022-08-24,-776644.7891594254
2022-08-25,-777014.6200114059
2022-08-26,-777384.6269733163
2022-08-29,-777754.8101290177
2022-08-30,-778125.1695624127
2022-08-31,-778495.7053574423
2022-09-01,-860665.1445441266
2022-09-02,-861074.9850891477
2022-09-06,-861485.0207963329
2022-09-07,-861895.251758617
2022-09-08,-862305.6780689784
2022-09-09,-862716.2998204395
2022-09-12,-863127.1171060683
2022-09-13,-878919.2350482729
2022-09-14,-879337.7680173434
2022-09-15,-879756.5002878278
2022-09-16,-880175.4319546317
2022-09-19,-889655.5007912766
2022-09-20,-890079.1462678439
2022-09-21,-890502.9934803526
2022-09-22,-915502.4324902687
2022-09-23,-922476.8565424961
2022-09-26,-922916.1312360879
2022-09-27,-923355.6151081052
2022-09-28,-923795.3082581565
2022-09-29,-924235.2107858985
2022-09-30,-924675.3227910346
2022-10-03,-953832.147546307
2022-10-04,-954286.3533308529
2022-10-05,-954740.7754038678
2022-10-06,-955195.4138683458
2022-10-07,-968698.0190844735
2022-10-10,-969159.3038554662
2022-10-11,-969620.8082858736
2022-10-12,-970082.5324802953
2022-10-13,-970544.4765433812
2022-10-14,-971006.6405798303
2022-10-17,-971469.0246943922
2022-10-18,-971931.628991866
2022-10-19,-972394.4535771
2022-10-20,-972857.4985549939
2022-10-21,-973320.7640304961
2022-10-24,-973784.250108606
2022-10-25,-974247.956894372
2022-10-26,-974711.8844928931
2022-10-27,-1051465.2758457821
2022-10-28,-1051965.973596185
2022-10-31,-1052466.9097740883
2022-11-01,-1052968.0844930282
2022-11-02,-1053469.497866596
2022-11-03,-1053971.1500084375
2022-11-04,-1054473.041032251
2022-11-07,-1054975.1710517902
2022-11-08,-1055477.5401808624
2022-11-09,-1055980.1485333296
2022-11-10,-1056482.9962231072
2022-11-11,-1056986.083364166
2022-11-14,-1057489.4100705297
2022-11-15,-1057992.9764562778
2022-11-16,-1058496.7826355428
2022-11-17,-1059000.8287225121
2022-11-18,-1059505.1148314276
2022-11-21,-1060009.6410765853
2022-11-22,-1060514.407572336
2022-11-23,-1061019.4144330847
2022-11-25,-1061524.6617732907
2022-11-28,-1062030.1497074687
2022-11-29,-1062535.8783501866
2022-11-30,-1063041.8478160673
2022-12-01,-1063548.0582197895
2022-12-02,-1064054.5096760846
2022-12-05,-1064561.20229974
2022-12-06,-1065068.1362055968
2022-12-07,-1065575.3115085522
2022-12-08,-1066082.7283235558
2022-12-09,-1066590.3867656149
2022-12-12,-1067098.2869497892
2022-12-13,-1067606.4289911937
2022-12-14,-1068114.8130049992
2022-12-15,-1068623.43910643
2022-12-16,-1069132.3074107664
2022-12-19,-1069641.4180333428
2022-12-20,-1070150.7710895492
2022-12-21,-1070660.3666948301
2022-12-22,-1071170.2049646843
2022-12-23,-1071680.2860146682
2022-12-27,-1079162.0881318175
2022-12-28,-1079675.9748404517
2022-12-29,-1080190.1062570426
2022-12-30,-1080704.4824981173
2023-01-03,-1081219.1036802593
2023-01-04,-1081733.969920107
2023-01-05,-1082249.0813343546
2023-01-06,-1082764.4380397522
2023-01-09,-1083280.0401531043
2023-01-10,-1094253.1050484153
2023-01-11,-1094774.177955581
2023-01-12,-1095295.498992703
2023-01-13,-1095817.0682779376
2023-01-17,-1096338.8859294984
2023-01-18,-1096860.9520656555
2023-01-19,-1097383.2668047345
2023-01-20,-1097905.8302651173
2023-01-23,-1098428.642565244
2023-01-24,-1098951.703823608
2023-01-25,-1074571.099953331
2023-01-26,-1075082.8004771185
2023-01-27,-1075594.7446678218
2023-01-30,-1076106.932641473
2023-01-31,-1076619.364514159
2023-02-01,-1077132.0404020236
2023-02-02,-1077644.9604212625
2023-02-03,-1078158.1246881296
2023-02-06,-1078671.5333189338
2023-02-07,-1079185.1864300375
2023-02-08,-1079699.084137862
2023-02-09,-1080213.2265588797
2023-02-10,-1080727.613809622
2023-02-13,-1063518.795220527
2023-02-14,-1064025.2327420611
2023-02-15,-1064531.911424319
2023-02-16,-1065038.8313821403
2023-02-17,-1065545.9927304173
2023-02-21,-1066053.3955840985
2023-02-22,-1066561.0400581863
2023-02-23,-1067068.926267738
2023-02-24,-1067577.054327865
2023-02-27,-1068085.4243537355
2023-02-28,-1068594.0364605708
2023-03-01,-1069102.890763647
2023-03-02,-1069611.9873782964
2023-03-03,-1070121.326419905
2023-03-06,-1070630.9080039146
2023-03-07,-1071140.7322458213
2023-03-08,-1071650.7992611763
2023-03-09,-1072161.1091655863
2023-03-10,-1072671.662074713
2023-03-13,-1073182.4581042724
2023-03-14,-1073693.497370036
2023-03-15,-1074204.7799878311
2023-03-16,-1074716.30607354
2023-03-17,-1075228.0757430985
2023-03-20,-1075740.0891125002
2023-03-21,-1076252.346297792
2023-03-22,-1076764.8474150766
2023-03-23,-1077277.5925805122
2023-03-24,-1077790.5819103124
2023-03-27,-1078303.815520746
2023-03-28,-1078817.293528137
2023-03-29,-1079331.0160488645
2023-03-30,-1079844.9831993638
2023-03-31,-1080359.1950961258
2023-04-03,-1080873.6518556953
2023-04-04,-1081388.353594674
2023-04-05,-1081903.300429719
2023-04-06,-1082418.4924775427
2023-04-10,-1082933.9298549131
2023-04-11,-1083449.6126786538
2023-04-12,-1083965.5410656433
2023-04-13,-1084481.7151328176
2023-04-14,-1084998.1349971665
2023-04-17,-1085514.8007757366
2023-04-18,-1050471.3373007036
2023-04-19,-1050971.5617470373
2023-04-20,-1051472.0243954882
2023-04-21,-1051972.725359486
2023-04-24,-1052473.664752514
2023-04-25,-1052974.842688111
2023-04-26,-1038554.451674217
2023-04-27,-1005802.937349338
2023-04-28,-1006281.8911290282
2023-05-01,-981399.5575539863
2023-05-02,-981866.8906766312
2023-05-03,-942363.7702241079
2023-05-04,-942812.5148765956
2023-05-05,-943261.473217013
2023-05-08,-943710.6453471164
2023-05-09,-944160.0313687101
2023-05-10,-944609.6313836474
2023-05-11,-945059.4454938303
2023-05-12,-945509.4738012083
2023-05-15,-945959.7164077803
2023-05-16,-946410.1734155936
2023-05-17,-946860.8449267435
2023-05-18,-947311.7310433754
2023-05-19,-936356.8545225571
2023-05-22,-936802.7387389961
2023-05-23,-937248.835281253
2023-05-24,-937695.1442504345
2023-05-25,-938141.6657476967
2023-05-26,-938588.3998742432
2023-05-30,-921313.7312409009
2023-05-31,-921752.4520653015
2023-06-01,-903657.6302518196
2023-06-02,-877379.6539734603
2023-06-05,-877797.4538086858
2023-06-06,-878215.4525962138
2023-06-07,-878633.6504307834
2023-06-08,-879052.047407179
2023-06-09,-879470.64362023
2023-06-12,-879889.4391648109
2023-06-13,-869768.7572414727
2023-06-14,-870182.9328401592
2023-06-15,-870597.3056653211
2023-06-16,-871011.8758108758
2023-06-20,-871426.6433707855
2023-06-21,-871841.6084390576
2023-06-22,-872256.771109743
2023-06-23,-872672.1314769381
2023-06-26,-873087.6896347842
2023-06-27,-873503.4456774676
2023-06-28,-873919.3996992187
2023-06-29,-874335.5517943135
2023-06-30,-862823.8905235578
2023-07-03,-863234.7590428545
2023-07-05,-42066.40875469903
2023-07-06,-42086.440377915555
2023-07-07,-42106.48154000028
2023-07-10,-42126.53224549552
2023-07-11,-42146.592498945756
2023-07-12,-42166.662304897625
2023-07-13,-42186.74166789996
2023-07-14,-42206.83059250372
2023-07-17,-42226.92908326206
2023-07-18,-42247.037144730275
2023-07-19,-42267.15478146587
2023-07-20,-42287.28199802847
2023-07-21,-42307.41879897991
2023-07-24,-42327.56518888419
2023-07-25,-42347.72117230746
2023-07-26,-42367.88675381809
2023-07-27,-42388.06193798657
2023-07-28,-42408.24672938561
2023-07-31,-42428.44113259008
2023-08-01,-42448.64515217703
2023-08-02,-42468.85879272568
2023-08-03,-42489.082058817454
2023-08-04,-42509.31495503594
2023-08-07,-42529.557485966914
2023-08-08,-42549.809656198326
2023-08-09,-42570.07147032033
2023-08-10,-42590.34293292524
2023-08-11,-42610.624048607584
2023-08-14,-42630.91482196406
2023-08-15,-42651.215257593576
2023-08-16,-42671.525360097185
2023-08-17,-42691.84513407818
2023-08-18,-42712.174584142034
2023-08-21,-42732.513714896384
2023-08-22,-42752.8625309511
2023-08-23,-42773.221036918214
2023-08-24,-42793.58923741199
2023-08-25,-42813.96713704885
2023-08-28,-42834.354740447445
2023-08-29,-42854.75205222861
2023-08-30,-42875.159077015385
2023-08-31,-42895.575819433005
2023-09-01,-42916.00228410893
2023-09-05,-42936.43847567279
2023-09-06,-42956.88439875645
2023-09-07,-42977.34005799395
2023-09-08,-42997.80545802157
2023-09-11,-43018.28060347777
2023-09-12,-43038.76549900323
2023-09-13,-43059.26014924085
2023-09-14,-43079.764558835726
2023-09-15,-43100.27873243517
2023-09-18,-43120.80267468871
2023-09-19,-43141.336390248085
2023-09-20,-43161.87988376725
2023-09-21,-43182.43315990237
2023-09-22,-43202.99622331186
2023-09-25,-43223.569078656285
2023-09-26,-43244.15173059851
2023-09-27,-43264.74418380355
2023-09-28,-43285.3464429387
2023-09-29,-43305.95851267343
2023-10-02,-43326.58039767946
2023-10-03,-43347.21210263074
2023-10-04,-43367.85363220342
2023-10-05,-43388.5049910759
2023-10-06,-43409.16618392879
2023-10-09,-43429.837215444946
2023-10-10,-43450.518090309444
2023-10-11,-43471.208813209596
2023-10-12,-43491.90938883493
2023-10-13,-43512.61982187723
2023-10-16,-43533.3401170305
2023-10-17,-43554.070278991
2023-10-18,-43574.810312457186
2023-10-19,-43595.56022212978
2023-10-20,-43616.32001271175
2023-10-23,-43637.08968890828
2023-10-24,-43657.86925542681
2023-10-25,-43678.65871697701
2023-10-26,-43699.45807827081
2023-10-27,-43720.26734402237
2023-10-30,-43741.0865189481
2023-10-31,-43761.91560776664
2023-11-01,-43782.754615198915
2023-11-02,-43803.60354596806
2023-11-03,-43824.462404799466
2023-11-06,-43845.331196420804
2023-11-07,-43866.209925561954
2023-11-08,-26972.908774236792
2023-11-09,-26985.753016510236
2023-11-10,-26998.603375089526
2023-11-13,-27011.459852887187
2023-11-14,-27024.322452817134
2023-11-15,-27037.191177794666
2023-11-16,-27050.066030736474
2023-11-17,-27062.947014560632
2023-11-20,-27075.834132186614
2023-11-21,-27088.72738653527
2023-11-22,-27101.626780528863
2023-11-24,-27114.53231709102
2023-11-27,-27127.44399914678
2023-11-28,-27140.36182962256
2023-11-29,-27153.285811446192
2023-11-30,-27166.21594754688
2023-12-01,-27179.15224085524
2023-12-04,-27192.094694303265
2023-12-05,-27205.04331082436
2023-12-06,-27217.998093353322
2023-12-07,-27230.959044826348
2023-12-08,-27243.92616818103
2023-12-11,-27256.899466356357
2023-12-12,-27269.878942292715
2023-12-13,-27282.8645989319
2023-12-14,-27295.856439217103
2023-12-15,-27308.854466092922
2023-12-18,-27321.858682505346
2023-12-19,-27334.86909140178
2023-12-20,-27347.885695731016
2023-12-21,-27360.90849844327
2023-12-22,-27373.937502490146
2023-12-26,-27386.97271082467
2023-12-27,-27400.014126401253
2023-12-28,-27413.06175217573
2023-12-29,-27426.115591105336
2024-01-02,-27439.175646148717
2024-01-03,-27452.24192026593
2024-01-04,-27465.31441641844
2024-01-05,-27478.393137569117
2024-01-08,-27491.478086682248
2024-01-09,-27504.56926672352
2024-01-10,-27517.666680660055
2024-01-11,-27530.77033146037
2024-01-12,-12465.848912662716
2024-01-16,-12471.785031192556
2024-01-17,-12477.723976445504
2024-01-18,-12483.66574976762
2024-01-19,-12489.610352505606
2024-01-22,-12495.5577860068
2024-01-23,-12501.508051619185
2024-01-24,-12507.461150691384
2024-01-25,-12513.417084572666
2024-01-26,-12519.37585461294
2024-01-29,-12525.337462162754
2024-01-30,-12531.301908573307
2024-01-31,-12537.269195196437
2024-02-01,-1904.0464576688555
2024-02-02,-1904.9531464582233
2024-02-05,-1905.8602670041564
2024-02-06,-1906.7678195122535
2024-02-07,-1907.6758041882103
2024-02-08,-1908.584221237823
2024-02-09,-1909.4930708669854
2024-02-12,-1910.4023532816836
2024-02-13,-1911.3120686880093
2024-02-14,-1912.2222172921465
2024-02-15,-1913.1327993003806
2024-02-16,-1914.043814919096
2024-02-20,-1914.9552643547704
2024-02-21,-1915.8671478139886
2024-02-22,-1916.7794655034231
2024-02-23,-1917.692217629853
2024-02-26,-1918.605404400153
2024-02-27,-1919.5190260212967
2024-02-28,-1920.433082700356
2024-02-29,-1921.3475746445001
2024-03-01,-1922.2625020609967
2024-03-04,-1923.1778651572176
2024-03-05,-1924.0936641406252
2024-03-06,-1925.0098992187877
2024-03-07,-1925.9265705993676
2024-03-08,-1926.8436784901287
2024-03-11,-1927.7612230989353
