name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,225.0,4953.539,11925.0,20250.0,17887.5,-8362.748303046501,-16012.93742113349,-12513.481573102345,71.91326639304746,85.53606984554901,108.48846505291783,-12513.481573102345
NVDA-history,141.98,4998.212,72125.84,77379.09999999999,119278.10789999999,-8438.166918897092,-10245.579039171347,6271.926019128659,1274.209118802942,1343.1507299175912,2511.8989334411713,-24704.114932597826
INTC-history,24.35,4941.82,2021.0500000000002,2922.0,17766.474234960937,-8342.963852502446,-10449.011355464134,-37240.26240220208,-127.92683368682887,-152.31253577556717,-394.0610578135413,-63646.48043203082
META-history,554.08,4805.6,11081.6,31582.56,21214.862644499997,-8112.992195099329,-22750.243803283756,11261.557173399739,61.7739263546835,183.79216324114043,675.8036419572942,-41342.0690629708
UBER-history,73.25,4975.56,11207.25,13917.5,22528.1803025918,-8399.924972167555,-10670.031198819335,35156.56817471545,56.42229272348127,65.2684080019267,1159.3619306632268,-76122.8775040872
NFLX-history,823.96,4938.1,8239.6,38726.12,13626.238500000001,-8336.68361050026,-31520.160703868332,-11478.886106351376,-1.9660114315275097,145.92574666636298,43.4853970889335,-16778.816517123545
SPOT-history,458.32,4944.94,8708.08,25665.92,16670.9429231625,-8348.231152246224,-18967.144831889214,-1575.969390192914,7.277112518125111,135.46726892764693,305.2610048447421,-29281.61841767701
MSFT-history,415.0,4846.099999999999,9545.0,24900.0,15785.043749999999,-8181.36579754265,-22702.5554149301,-9064.162565481827,28.138796196061776,45.34459844142509,138.68639079916164,-20297.74837078771
NKE-history,76.66,4997.5,3833.0,6669.42,65490.3984375,-8436.96489408378,-14287.492408385971,-90542.9672510845,-92.12536056195657,-152.43766700122003,-501.3020272853326,-90542.9672510845
AMD-history,134.9,4966.2,12545.7,17537.0,19759.4775,-8384.123072936236,-13626.51101534791,-10922.366582116709,83.7980131098982,78.7420761276648,177.94512741901843,-16123.369373220186
DUOL-history,307.32,4974.28,11370.84,19975.8,11370.84,-7388.322656586101,-12444.150177945274,-7388.322656586101,80.06218675695575,151.41185904401695,80.06218675695575,-7388.322656586101
SNAP-history,10.6,4988.46,2257.7999999999997,2650.0,12001.618125,-8421.703230723606,-9854.099159980204,-26184.74814820228,-123.56324859222299,-144.4152936974578,-284.3188082735409,-30162.01081386149
GOOG-history,173.89,4935.8099999999995,11476.74,17910.67,20925.0737994375,-8332.817547547282,-14270.070203754567,-5800.46323486646,63.69618061580001,73.75891284805192,306.4261096875901,-53575.27120285208
MHVYF-history,15.3,4998.6720000000005,31946.4,32512.5,31946.4,-8438.943507961863,-8667.896915964146,-8438.943507961863,470.274034624359,477.0187578628054,470.274034624359,-8438.943507961863
LLY-history,746.2,4839.8099999999995,21639.800000000003,49249.200000000004,21639.800000000003,-8170.746786200193,-26860.637211966412,-8170.746786200193,278.29714831366954,462.591770917321,278.29714831366954,-8170.746786200193
TSLA-history,320.72,4937.705999999999,17318.88,29185.520000000004,61373.78100000001,-8336.018445083895,-19447.517060802536,-30578.402064541995,181.92378312755167,197.21714778477028,623.6778563863061,-53010.19329253253
DIS-history,115.08,4920.490000000001,4948.44,9206.4,26304.051375,-8306.953755215658,-14534.654761251364,-30366.998524911578,-68.25567687802754,-108.28707631254943,-82.57200298977497,-39281.66311265391
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
SBUX-history,98.42,4979.04,6495.72,10137.26,51793.217437499996,-8405.800037266403,-13133.164399349052,-51587.885527145096,-38.362415993171425,-60.170321976707406,4.123925703647695,-51587.885527145096
ABNB-history,132.5,4873.75,4637.5,9142.5,7304.0625,-7800.812299219948,-14030.627597615188,-10494.245722380196,-64.90509975316641,-100.2950007204963,-65.45643954614405,-12396.669699014252
